depth_mm,pair_80_optical_flow_mean_cm_per_s,pair_80_piv_mean_cm_per_s,pair_80_matched_coverage_percent,pair_100_optical_flow_mean_cm_per_s,pair_100_piv_mean_cm_per_s,pair_100_matched_coverage_percent
4.400000000000000355e+00,1.439973386395139610e+00,1.425453925276418898e+00,3.603515624999999289e+01,2.269112203297982688e+00,2.268908152936356615e+00,3.544921875000000000e+01
4.500000000000000888e+00,1.379418665479145378e+00,1.365495249543481560e+00,3.613281249999999289e+01,2.168792438064508055e+00,2.162233193959096411e+00,3.671875000000000000e+01
4.599999999999999645e+00,1.318031533560811930e+00,1.313811152134840787e+00,3.535156250000000000e+01,2.087785009990726248e+00,2.064459091363170629e+00,3.759765625000000000e+01
4.700000000000000178e+00,1.265183608443062102e+00,1.263850308981090631e+00,3.720703125000000000e+01,2.032104769051434445e+00,2.005916141002297426e+00,3.662109375000000000e+01
4.800000000000000711e+00,1.215113319509412371e+00,1.217983086449757613e+00,4.121093750000000000e+01,1.958413764163725812e+00,1.933124083467768095e+00,3.583984374999999289e+01
4.899999999999999467e+00,1.154412056514327434e+00,1.158286046172337214e+00,4.277343749999999289e+01,1.856786718665687674e+00,1.831648281691500291e+00,3.632812499999999289e+01
5.000000000000000000e+00,1.104598377349470972e+00,1.098608549299987969e+00,3.681640624999999289e+01,1.774940233003002188e+00,1.742150584741597452e+00,3.544921875000000000e+01
5.100000000000000533e+00,1.058554806290713080e+00,1.056023401915514803e+00,3.544921875000000000e+01,1.730594663942897737e+00,1.708629112674781458e+00,3.876953124999999289e+01
5.200000000000001066e+00,1.007541543811186768e+00,1.012141533537590510e+00,3.730468750000000000e+01,1.647083023379999123e+00,1.621352597425345543e+00,4.199218749999999289e+01
5.299999999999999822e+00,9.576857826364408854e-01,9.610279509488348637e-01,3.916015624999999289e+01,1.583266215113129149e+00,1.566431187721537777e+00,4.267578124999998579e+01
5.400000000000000355e+00,9.102876261140220304e-01,9.187245137318994503e-01,3.818359374999999289e+01,1.523221514464392801e+00,1.516750650710106507e+00,4.140625000000000000e+01
5.500000000000000888e+00,8.670672167105504258e-01,8.732279963133764422e-01,3.945312500000000000e+01,1.455100118883950300e+00,1.454795780613022727e+00,3.994140624999999289e+01
5.599999999999999645e+00,8.240428772630309373e-01,8.241500410888662476e-01,4.160156250000000000e+01,1.402670042013165030e+00,1.409214997469307562e+00,4.033203125000000000e+01
5.700000000000000178e+00,7.996261541286967534e-01,8.111406587861071937e-01,4.052734375000000000e+01,1.341196276683216393e+00,1.356676436998994761e+00,4.208984374999999289e+01
5.800000000000000711e+00,7.639889009486660054e-01,7.781239709099506685e-01,4.160156250000000000e+01,1.286856766999203039e+00,1.289510697230758618e+00,4.677734374999998579e+01
5.899999999999999467e+00,7.281262441041307376e-01,7.423078606623987330e-01,4.130859375000000000e+01,1.222473401559514228e+00,1.226419769327908638e+00,4.960937499999999289e+01
6.000000000000000000e+00,6.977798533358927635e-01,7.006615643373942381e-01,4.033203125000000000e+01,1.161068674002771139e+00,1.156436177907121055e+00,4.794921874999999289e+01
6.100000000000000533e+00,6.685820782283132813e-01,6.536537377669038307e-01,3.955078125000000000e+01,1.105183772783963958e+00,1.087954367247194076e+00,4.716796875000000000e+01
6.200000000000001066e+00,6.295910149626693375e-01,6.177623566093357610e-01,4.140625000000000000e+01,1.059514826048544744e+00,1.037714771195741070e+00,4.511718749999999289e+01
